id,executable_id,endpoint_type,endpoint_value,protocol,port,confidence_score,detection_method,context,analysis_timestamp,executable_name,exe_classification
1757,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""24px"" height=""24px"" viewBox=""0 0 24 24"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1758,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""32px"" height=""32px"" viewBox=""0 0 32 32"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1759,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""32px"" height=""32px"" viewBox=""0 0 32 32"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1760,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1761,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1762,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""46px"" height=""46px"" viewBox=""0 0 46 46"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1763,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""46px"" height=""46px"" viewBox=""0 0 46 46"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1764,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""32px"" height=""32px"" viewBox=""0 0 32 32"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1765,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""32px"" height=""32px"" viewBox=""0 0 32 32"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1766,1,unknown,"http://www.w3.org/2000/svg"">",,,0.8,hybrid_analysis,"0<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1767,1,unknown,"http://www.w3.org/2000/svg"">",,,0.8,hybrid_analysis,"<svg width=""32"" height=""32"" viewBox=""0 0 32 32"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1768,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1769,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1770,1,unknown,"http://www.w3.org/2000/svg"">",,,0.8,hybrid_analysis,"<svg width=""32"" height=""33"" viewBox=""0 0 32 33"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1771,1,unknown,"http://www.w3.org/2000/svg"">",,,0.8,hybrid_analysis,"<svg width=""25"" height=""32"" viewBox=""0 0 25 32"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1772,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1773,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
